Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,52.430000,55.400002,51.810001,55.400002,55.400002,336800
2016-08-22,55.259998,55.259998,53.599998,55.040001,55.040001,99000
2016-08-23,55.009998,56.299999,53.869999,53.959999,53.959999,99700
2016-08-24,54.290001,55.110001,52.650002,52.900002,52.900002,81800
2016-08-25,52.900002,53.139999,52.099998,52.610001,52.610001,113200
2016-08-26,52.509998,54.150002,52.509998,54.070000,54.070000,59300
2016-08-29,54.490002,54.490002,53.669998,53.849998,53.849998,42500
2016-08-30,54.480000,54.480000,53.500000,54.020000,54.020000,27300
2016-08-31,54.049999,54.400002,53.639999,54.400002,54.400002,178500
2016-09-01,54.450001,54.450001,52.310001,53.349998,53.349998,95500
2016-09-02,53.400002,56.919998,53.349998,55.040001,55.040001,99400
2016-09-06,55.540001,55.950001,54.740002,55.580002,55.580002,57600
2016-09-07,56.000000,56.000000,54.639999,55.220001,55.220001,69900
2016-09-08,55.240002,56.000000,54.720001,55.860001,55.860001,47900
2016-09-09,55.740002,55.779999,53.110001,53.549999,53.549999,83400
2016-09-12,52.990002,55.299999,52.220001,54.369999,54.369999,78200
2016-09-13,54.389999,54.540001,52.619999,53.529999,53.529999,65100
2016-09-14,53.990002,54.860001,53.560001,54.000000,54.000000,84300
2016-09-15,54.540001,55.305000,53.880001,54.950001,54.950001,75000
2016-09-16,55.490002,55.490002,53.950001,54.680000,54.680000,98000
2016-09-19,55.209999,59.029999,55.060001,56.880001,56.880001,150300
2016-09-20,56.880001,57.250000,54.880001,56.119999,56.119999,104500
2016-09-21,56.619999,58.520000,56.400002,58.290001,58.290001,111000
2016-09-22,58.990002,58.990002,56.930000,57.330002,57.330002,120200
2016-09-23,58.020000,58.020000,56.500000,57.180000,57.180000,67100
2016-09-26,57.020000,57.369999,56.520000,56.980000,56.980000,48700
2016-09-27,57.279999,58.040001,57.110001,58.009998,58.009998,69800
2016-09-28,56.580002,57.040001,54.000000,56.090000,56.090000,239900
2016-09-29,55.830002,57.580002,55.830002,56.590000,56.590000,97600
2016-09-30,56.830002,56.869999,56.099998,56.290001,56.290001,39200
2016-10-03,57.490002,57.490002,55.520000,56.400002,56.400002,78700
2016-10-04,57.529999,57.990002,56.900002,57.270000,57.270000,93200
2016-10-05,57.790001,58.310001,57.250000,57.880001,57.880001,72300
2016-10-06,57.880001,58.000000,57.180000,57.730000,57.730000,64600
2016-10-07,58.000000,59.130001,57.660000,59.099998,59.099998,63600
2016-10-11,58.950001,58.950001,55.669998,56.040001,56.040001,151900
2016-10-12,56.110001,56.660000,55.330002,56.250000,56.250000,93600
